courseName,roomNumber,credits,studentId,id,ruleId
Course1,1,3,1,1,1
Course1,1,3,2,1,1
Course1,1,3,3,1,1
Course2,1,3,4,2,1
Course2,1,4,5,2,1
Course2,1,4,6,2,1
Course3,2,4,7,1002,2
Course3,2,4,8,1002,2
Course3,2,1,9,1003,2
Course4,2,1,10,1003,2
Course4,2,1,11,1003,2
Course4,2,1,12,1003,2
Course5,3,3,13,1001,2
Course5,3,3,14,1001,2
Course5,3,3,15,1001,2
Course6,3,3,16,1001,2
Course6,3,4,17,1002,2
Course6,3,4,18,1002,2
Course6,3,4,19,1002,2
Course7,4,4,20,1002,3
Course7,4,1,21,1003,3
Course7,4,1,22,1003,3
Course8,5,1,23,1003,4
Course8,5,1,24,1003,4
Course8,5,3,25,1001,4
Course8,5,3,26,1001,4
Course8,5,3,27,1001,4
Course8,5,3,28,1001,4
Course9,6,4,29,1002,5
Course10,7,4,30,1002,6
